review,garage service positive,ease of booking positive,processed_text,sentiment,subthemes
"Easy Tyre Selection Process, Competitive Pricing and Excellent Fitting Service",garage service positive,value for money positive,"['Easy', 'Tyre', 'Selection', 'Process', ',', 'Competitive', 'Pricing', 'Excellent', 'Fitting', 'Service']",positive,"{'garage service': 'positive', 'incorrect tyres': 'positive'}"
Very easy to use and good value for money.,value for money positive,,"['easy', 'use', 'good', 'value', 'money', '.']",positive,{}
Really easy and convenient to arrange,ease of booking positive,,"['Really', 'easy', 'convenient', 'arrange']",positive,{}
It was so easy to select tyre sizes and arrange local fitting. The prices were competitive,location positive,value for money positive,"['easy', 'select', 'tyre', 'sizes', 'arrange', 'local', 'fitting', '.', 'prices', 'competitive']",positive,{'incorrect tyres': 'positive'}
service was excellent. Only slight downside was not knowing exact time at garage although the garage were so quick so I wasn't delayed,length of fitting positive,ease of booking positive,"['service', 'excellent', '.', 'slight', 'downside', 'knowing', 'exact', 'time', 'garage', 'although', 'garage', 'quick', ""n't"", 'delayed']",positive,"{'garage service': 'positive', 'wait time': 'positive'}"
User friendly Website. Competitive Prices. Good communications. Efficient service by ATS Euromaster.,garage service positive,value for money positive,"['User', 'friendly', 'Website', '.', 'Competitive', 'Prices', '.', 'Good', 'communications', '.', 'Efficient', 'service', 'ATS', 'Euromaster', '.']",positive,{'garage service': 'positive'}
Excellent prices and service,value for money positive,,"['Excellent', 'prices', 'service']",positive,{'garage service': 'positive'}
It was very straightforward and the garage was great. Hadn't even known about them before,garage service positive,,"['straightforward', 'garage', 'great', '.', ""n't"", 'even', 'known']",positive,{'garage service': 'positive'}
Use of local garage.,location positive,,"['Use', 'local', 'garage', '.']",neutral,{'garage service': 'neutral'}
"Easy to use, also good price.",value for money positive,,"['Easy', 'use', ',', 'also', 'good', 'price', '.']",positive,{}
Outstanding values for money and a friendly professional service,value for money positive,,"['Outstanding', 'values', 'money', 'friendly', 'professional', 'service']",positive,{'garage service': 'positive'}
Great price and easy to use,value for money positive,,"['Great', 'price', 'easy', 'use']",positive,{}
Good price and easy to use a garage I was familiar with.,value for money positive,location positive,"['Good', 'price', 'easy', 'use', 'garage', 'familiar', '.']",positive,{'garage service': 'positive'}
Booked slot then you couldn't provide it and had to re-arrange. Makes a bit of a mockery of an online booking system...,ease of booking negative,change of date negative,"['Booked', 'slot', 'could', ""n't"", 'provide', 're-arrange', '.', 'Makes', 'bit', 'mockery', 'online', 'booking', 'system', '...']",neutral,{}
Good price and some good fitting centres,garage service positive,value for money positive,"['Good', 'price', 'good', 'fitting', 'centres']",positive,{}
Competitively priced and easy to use fitting centre near me who were very professional.,location positive,value for money positive,"['Competitively', 'priced', 'easy', 'use', 'fitting', 'centre', 'near', 'professional', '.']",positive,{}
Very easy to use. I was kept up to date every step of the way. Good product at good price. Thank you.,value for money positive,tyre quality positive,"['easy', 'use', '.', 'kept', 'date', 'every', 'step', 'way', '.', 'Good', 'product', 'good', 'price', '.', 'Thank', '.']",positive,{}
"A really easy website to navigate, competitive prices and a great selection of garages to choose from for fitting.",value for money positive,,"['really', 'easy', 'website', 'navigate', ',', 'competitive', 'prices', 'great', 'selection', 'garages', 'choose', 'fitting', '.']",positive,{'garage service': 'positive'}
